9.989879e+002,1.387548e+000
1.002845e+003,1.387459e+000
1.006702e+003,1.388226e+000
1.010559e+003,1.387391e+000
1.014416e+003,1.383826e+000
1.018273e+003,1.380755e+000
1.022130e+003,1.379933e+000
1.025988e+003,1.380075e+000
1.029845e+003,1.379315e+000
1.033702e+003,1.377307e+000
1.037559e+003,1.374209e+000
1.041416e+003,1.370876e+000
1.045273e+003,1.367770e+000
1.049130e+003,1.362236e+000
1.052987e+003,1.356062e+000
1.056844e+003,1.350337e+000
1.060701e+003,1.342820e+000
1.064559e+003,1.336550e+000
1.068416e+003,1.332381e+000
1.072273e+003,1.329089e+000
1.076130e+003,1.327784e+000
1.079987e+003,1.329081e+000
1.083844e+003,1.331575e+000
1.087701e+003,1.336773e+000
1.091558e+003,1.343907e+000
1.095415e+003,1.348975e+000
1.099272e+003,1.354460e+000
1.103130e+003,1.363528e+000
1.106987e+003,1.375711e+000
1.110844e+003,1.388747e+000
1.114701e+003,1.401212e+000
1.118558e+003,1.412813e+000
1.122415e+003,1.423008e+000
1.126272e+003,1.433161e+000
1.130129e+003,1.442672e+000
1.133986e+003,1.452405e+000
1.137843e+003,1.459590e+000
1.141700e+003,1.464713e+000
1.145558e+003,1.468710e+000
1.149415e+003,1.472312e+000
1.153272e+003,1.479352e+000
1.157129e+003,1.487819e+000
1.160986e+003,1.494743e+000
1.164843e+003,1.500172e+000
1.168700e+003,1.506113e+000
1.172557e+003,1.512839e+000
1.176414e+003,1.519008e+000
1.180271e+003,1.527050e+000
1.184129e+003,1.537917e+000
1.187986e+003,1.549044e+000
1.191843e+003,1.560169e+000
1.195700e+003,1.571321e+000
1.199557e+003,1.582917e+000
1.203414e+003,1.595416e+000
1.207271e+003,1.611811e+000
1.211128e+003,1.626886e+000
1.214985e+003,1.642663e+000
1.218842e+003,1.663441e+000
1.222699e+003,1.683387e+000
1.226557e+003,1.703030e+000
1.230414e+003,1.720562e+000
1.234271e+003,1.737131e+000
1.238128e+003,1.754909e+000
1.241985e+003,1.775025e+000
1.245842e+003,1.792919e+000
1.249699e+003,1.805409e+000
1.253556e+003,1.804742e+000
1.257413e+003,1.785858e+000
1.261271e+003,1.745495e+000
1.265128e+003,1.689051e+000
1.268985e+003,1.617089e+000
1.272842e+003,1.531798e+000
1.276699e+003,1.440212e+000
1.280556e+003,1.349373e+000
1.284413e+003,1.262417e+000
1.288270e+003,1.182220e+000
1.292127e+003,1.109424e+000
1.295984e+003,1.043232e+000
1.299841e+003,9.833365e-001
1.303698e+003,9.292418e-001
1.307556e+003,8.803071e-001
1.311413e+003,8.362234e-001
1.315270e+003,7.968645e-001
1.319127e+003,7.616396e-001
1.322984e+003,7.300605e-001
1.326841e+003,7.013165e-001
1.330698e+003,6.752509e-001
1.334555e+003,6.515532e-001
1.338412e+003,6.296576e-001
1.342270e+003,6.091799e-001
1.346127e+003,5.903080e-001
1.349984e+003,5.728270e-001
1.353841e+003,5.566528e-001
1.357698e+003,5.416440e-001
1.361555e+003,5.279405e-001
1.365412e+003,5.152870e-001
1.369269e+003,5.033377e-001
1.373126e+003,4.916212e-001
1.376983e+003,4.805601e-001
1.380840e+003,4.703851e-001
1.384698e+003,4.609765e-001
1.388555e+003,4.520805e-001
1.392412e+003,4.439138e-001
1.396269e+003,4.361988e-001
1.400126e+003,4.291480e-001
1.403983e+003,4.224344e-001
1.407840e+003,4.159679e-001
1.411697e+003,4.096690e-001
1.415554e+003,4.037488e-001
1.419411e+003,3.980607e-001
1.423269e+003,3.930816e-001
1.427126e+003,3.884119e-001
1.430983e+003,3.840601e-001
1.434840e+003,3.797978e-001
1.438697e+003,3.759613e-001
1.442554e+003,3.726009e-001
1.446411e+003,3.692778e-001
1.450268e+003,3.658032e-001
